month,value,value_api,value_api_shortfall,,
01/03/2025,248.85,248.848,0.002,,
01/04/2025,521.96,521.964,-0.004,,
01/05/2025,594.38,594.375,0.005,,
01/06/2025,641.27,641.27,1.14E-13,,
01/07/2025,539.81,539.809,0.001,,
01/08/2025,466.58,466.58,3.41E-13,,
01/09/2025,313.78,313.777,0.003,,powerbi
01/10/2025,123.99,123.993,-0.003,,20.1
01/11/2025,52.32,52.321,-0.001,,37.91
01/12/2025,29.88,29.883,-0.003,,24.37
01/01/2026,41.39,41.39,1.42E-14,,41.39
01/02/2026,79.54,75.832,3.708,,75.83
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,11.931,,,,
